Player Name,Player ID,Champion ID,Record,Winrate,KDA,CS /min,Gold /min,Gold %,KP,Damage /min,Damage %,K + A /min,Solo kills,Pentakills
23Nino,5568,72,0W - 1L,0%,0.3,8.2,338,21.6%,100%,370.4,22.6%,0.04,-,0
2T,4206,162,0W - 6L,0%,1.4,7.7,353,20.9%,45.2%,399.2,20.4%,0.14,5,0
2T,4206,1,0W - 6L,0%,1.3,8.2,385,21.3%,52.8%,591.8,26.9%,0.22,4,0
2T,4206,35,0W - 2L,0%,0.1,6.7,299,19.3%,5.6%,293.3,15.5%,0.02,-,0
2T,4206,119,0W - 5L,0%,1.3,8.1,386,22.2%,44.5%,617.5,27.3%,0.21,-,0
2T,4206,72,0W - 1L,0%,0.6,8.2,346,20.1%,27.3%,410.1,16.4%,0.11,-,0
2T,4206,3,1W - 6L,14.3%,1.2,7.5,358,20.5%,48%,500.9,27.5%,0.2,3,0
2T,4206,32,2W - 1L,66.7%,2.7,8.6,432,21.8%,44.8%,536.9,20.9%,0.35,2,0
2T,4206,75,0W - 1L,0%,1.0,6.7,335,20.1%,69.2%,483.6,17.5%,0.2,-,0
369,1922,1,34W - 11L,75.6%,3.7,8.3,405,21.5%,56.8%,521.4,23.7%,0.26,3,0
369,1922,72,51W - 23L,68.9%,3.4,8.6,414,21.7%,53.3%,448.7,20.1%,0.25,9,0
369,1922,162,27W - 11L,71.1%,3.8,7.8,381,19.7%,56.6%,471.8,19.1%,0.3,-,0
369,1922,75,6W - 1L,85.7%,4.6,7.5,413,20.9%,66.6%,701.6,29.1%,0.37,-,0
369,1922,99,8W - 5L,61.5%,3.6,8,391,21.1%,63%,483.1,21.6%,0.27,-,0
369,1922,28,24W - 12L,66.7%,3.2,7.4,365,19.4%,53.8%,557.2,23.6%,0.26,2,0
369,1922,98,2W - 2L,50%,1.9,8.9,377,20.7%,41.7%,535.7,23.1%,0.14,-,-
369,1922,138,36W - 15L,70.6%,5.9,7.4,357,19%,61%,454.6,19.1%,0.31,2,0
369,1922,35,12W - 7L,63.2%,2.9,8.7,425,22.5%,55.3%,485.8,22.4%,0.27,5,0
369,1922,119,15W - 3L,83.3%,3.6,9.1,437,21.8%,51.9%,635,24.6%,0.3,2,0
369,1922,82,26W - 11L,70.3%,4.3,7.3,361,19%,55.9%,383.5,17.6%,0.31,4,0
369,1922,43,24W - 22L,52.2%,2.3,7.7,388,21%,56%,544.9,25.7%,0.28,1,0
369,1922,36,26W - 18L,59.1%,2.8,8,405,21.8%,58.7%,673.9,30.8%,0.29,3,0
369,1922,70,4W - 1L,80%,3.4,9.2,475,24.9%,60.6%,688.7,29.5%,0.3,3,0
369,1922,122,1W - 0L,100%,7.0,6.7,423,21.4%,63.6%,476,17.3%,0.38,-,-
369,1922,96,1W - 0L,100%,2.7,8.2,515,22.5%,34.8%,512.9,16.2%,0.33,-,-
5Kid,2660,100,5W - 17L,22.7%,2.5,9.1,406,24.1%,73.2%,554.1,28.6%,0.2,5,1
5Kid,2660,146,1W - 7L,12.5%,3.5,3.7,318,18.8%,87.1%,366.3,18.7%,0.34,2,0
5Kid,2660,121,3W - 2L,60%,4.8,9,436,24.2%,68.4%,435,22.3%,0.35,-,0
5Kid,2660,21,17W - 16L,51.5%,4.3,9.7,426,24.1%,60.3%,685.5,33.6%,0.24,4,1
5Kid,2660,167,2W - 1L,66.7%,3.4,10.2,499,27.9%,78.8%,1199.1,48.2%,0.3,1,1
5Kid,2660,50,7W - 6L,53.8%,3.2,9.6,444,25.4%,74.1%,740.4,33.4%,0.24,-,0
5Kid,2660,135,15W - 4L,78.9%,4.9,10.1,465,25.2%,75.2%,674.4,30.2%,0.33,4,0
5Kid,2660,147,23W - 22L,51.1%,3.7,9.9,445,25.1%,68%,574.3,28.8%,0.27,3,0
5Kid,2660,18,1W - 1L,50%,2.1,8.6,454,24.5%,55.4%,664,25.3%,0.31,-,0
5Kid,2660,129,2W - 10L,16.7%,4.4,9.6,411,24.9%,74.2%,468.7,27.9%,0.18,1,0
5Kid,2660,8,2W - 3L,40%,6.5,9.7,435,24.6%,76.8%,625.3,29.8%,0.31,-,0
5Kid,2660,140,9W - 7L,56.3%,5.9,10.1,461,25%,69.4%,479.6,23%,0.32,2,0
665,4516,47,9W - 6L,60%,3.3,5.8,369,19.4%,72.6%,412.1,14.6%,0.41,2,0
665,4516,110,7W - 7L,50%,2.3,5.5,346,18.8%,66.2%,452.2,17.1%,0.36,2,0
665,4516,103,7W - 1L,87.5%,3.0,5.8,366,18%,71.3%,403.7,12.9%,0.52,2,0
665,4516,77,1W - 7L,12.5%,1.8,5.1,297,17.7%,79.4%,218.3,13.1%,0.19,1,0
665,4516,34,1W - 2L,33.3%,2.5,5.7,342,19%,68.6%,393.2,15.5%,0.36,-,0
665,4516,106,1W - 4L,20%,2.2,4.5,287,17.1%,62.5%,288.1,13.8%,0.24,-,0
665,4516,153,0W - 1L,0%,0.6,4.6,266,15.6%,66.7%,112.7,5.1%,0.11,-,0
665,4516,55,4W - 1L,80%,4.2,5.1,350,17.8%,69.5%,619.2,20.4%,0.45,-,0
665,4516,69,2W - 2L,50%,3.7,4.7,305,17%,73.7%,234.3,10.3%,0.32,1,0
665,4516,64,2W - 3L,40%,1.7,5.3,303,17.7%,69.4%,225.4,11.5%,0.21,2,0
665,4516,154,3W - 11L,21.4%,2.1,5.2,329,18.8%,64%,253.1,14.2%,0.27,5,0
ACD,2119,155,13W - 4L,76.5%,3.3,8.3,434,22.9%,57.4%,693.1,26.9%,0.31,11,0
ACD,2119,75,7W - 2L,77.8%,3.3,7.8,431,21.9%,63.1%,810.2,31.6%,0.39,6,0
ACD,2119,132,12W - 6L,66.7%,3.0,7.9,416,21.9%,56.4%,503.5,21.5%,0.28,7,0
ACD,2119,26,27W - 14L,65.9%,3.5,8.4,463,24.2%,63.8%,792.7,32%,0.33,27,0
ACD,2119,72,3W - 2L,60%,1.5,7.2,361,20.1%,48.5%,430.1,18.2%,0.23,1,0
ACD,2119,43,1W - 0L,100%,2.0,7.6,414,20.4%,45.5%,739.1,25.2%,0.25,-,0
ACD,2119,27,0W - 1L,0%,0.5,7,322,19.9%,30%,484.7,21.8%,0.12,1,0
ACD,2119,162,4W - 3L,57.1%,3.3,7.4,373,20.4%,59%,446.7,18.9%,0.29,3,0
ACD,2119,113,1W - 0L,100%,0.0,8.8,364,17.9%,0%,459.2,23.4%,0,-,0
ACD,2119,106,2W - 1L,66.7%,2.5,6.8,371,19.5%,55%,502.1,19.5%,0.33,2,0
ACD,2119,28,4W - 6L,40%,2.1,7.3,357,20.7%,50.1%,670.8,29.7%,0.19,8,0
AHaHaCiK,1482,110,3W - 7L,30%,1.9,5.1,315,17.9%,64.8%,349.9,16.4%,0.25,1,0
AHaHaCiK,1482,10,3W - 0L,100%,4.9,5.4,365,19.2%,78.4%,678,24.4%,0.48,2,0
AHaHaCiK,1482,55,7W - 7L,50%,2.6,4.6,331,17.9%,73.9%,553.3,20.4%,0.35,2,0
AHaHaCiK,1482,47,20W - 14L,58.8%,3.8,5.1,340,18.9%,68.7%,287.3,14.1%,0.35,5,0
AHaHaCiK,1482,153,0W - 1L,0%,0.8,4.9,260,16.9%,80%,241.9,12.9%,0.16,-,0
AHaHaCiK,1482,77,15W - 8L,65.2%,4.3,4.7,325,17.6%,78.6%,279.8,13.2%,0.36,1,0
AHaHaCiK,1482,69,0W - 2L,0%,3.7,4.2,298,17.6%,91.7%,308.6,14.4%,0.28,-,0
AHaHaCiK,1482,103,5W - 6L,45.5%,2.0,4.9,315,17.9%,62.8%,208.9,11.6%,0.27,-,0
AHaHaCiK,1482,133,1W - 1L,50%,5.8,4.3,311,17.3%,84.7%,162.7,7.2%,0.37,-,0
AHaHaCiK,1482,106,5W - 0L,100%,5.0,4.9,365,18.4%,57.4%,302.9,13.1%,0.44,1,0
AKLASS,5062,140,4W - 1L,80%,8.0,8.9,478,24.8%,69.8%,718.7,27%,0.45,1,0
AKLASS,5062,37,4W - 0L,100%,10.4,10.1,498,25.6%,84.4%,775.4,32.4%,0.44,-,1
AKLASS,5062,146,2W - 1L,66.7%,5.3,5.4,380,20.7%,70.1%,414.6,17.9%,0.32,-,0
AKLASS,5062,100,0W - 3L,0%,1.6,8.3,372,22.3%,50.8%,432.2,22.5%,0.14,-,0
AKLASS,5062,135,1W - 1L,50%,4.2,9.3,460,24.8%,74.2%,906.2,30.2%,0.38,-,0
AKLASS,5062,21,1W - 2L,33.3%,2.7,8.5,378,22.2%,50.7%,661.4,28.8%,0.16,-,0
AKLASS,5062,158,2W - 1L,66.7%,4.8,9.3,423,22.9%,60.3%,697.4,22.8%,0.29,-,0
AKLASS,5062,167,1W - 0L,100%,7.0,8.5,459,24.3%,60.9%,734,26.3%,0.38,-,0
AKLASS,5062,18,0W - 2L,0%,1.4,8.5,398,24%,50%,449.9,26.9%,0.12,-,0
AKi,3298,103,21W - 16L,56.8%,3.1,5.8,340,18.4%,68.5%,244,11.1%,0.26,-,-
AKi,3298,77,13W - 10L,56.5%,4.8,5.3,325,17.8%,73.4%,279.2,12.4%,0.31,-,-
AKi,3298,69,14W - 7L,66.7%,3.1,4.8,315,17%,61.3%,226.3,10.1%,0.27,-,-
AKi,3298,55,14W - 8L,63.6%,4.9,5.3,345,18.3%,76.2%,436.4,17.2%,0.34,-,-
AKi,3298,110,23W - 21L,52.3%,3.4,5.7,345,19%,65.2%,334.7,16.3%,0.31,-,0
AKi,3298,64,5W - 3L,62.5%,4.4,6.9,351,19.1%,50.9%,239.5,10.6%,0.25,-,-
AKi,3298,47,11W - 8L,57.9%,3.8,5.4,341,18.5%,71.5%,297.2,13.2%,0.35,-,-
AKi,3298,35,1W - 2L,33.3%,2.9,6.5,356,20.5%,63.2%,360.5,13.8%,0.21,-,-
AKi,3298,153,2W - 1L,66.7%,3.5,5,297,17%,86.7%,210.6,8.9%,0.26,-,-
AKi,3298,160,0W - 2L,0%,0.7,5.2,294,19.3%,40%,77.3,6.8%,0.09,-,-
AKi,3298,108,21W - 20L,51.2%,3.8,5.5,350,19%,71.4%,313.3,14.5%,0.28,-,-
AKi,3298,10,0W - 1L,0%,1.0,7.4,345,20.6%,100%,457.6,19.4%,0.11,-,-
AKi,3298,154,7W - 10L,41.2%,3.0,5.7,326,18.5%,61%,187.3,10.6%,0.22,-,0
AKi,3298,16,2W - 3L,40%,3.1,6.4,351,19.6%,76.8%,453.4,22.1%,0.33,-,0
APA,3808,115,18W - 9L,66.7%,4.5,8.7,441,23.8%,66.2%,831.2,33.6%,0.33,8,0
APA,3808,131,9W - 9L,50%,3.9,8.9,430,23.2%,67.9%,679.2,29%,0.35,4,0
APA,3808,130,7W - 8L,46.7%,3.0,8.5,404,23.1%,74.6%,640.9,29.3%,0.32,6,0
APA,3808,93,8W - 5L,61.5%,2.8,9.4,456,24.8%,64.5%,587,23.3%,0.27,4,0
APA,3808,120,4W - 3L,57.1%,2.9,9,419,23.2%,59.4%,725.9,30.2%,0.27,2,0
APA,3808,2,10W - 10L,50%,3.4,8.7,411,22.8%,72%,647.6,28%,0.31,2,0
APA,3808,67,1W - 6L,14.3%,1.8,8.7,373,23.1%,74.1%,489.6,27.5%,0.25,1,0
APA,3808,142,7W - 5L,58.3%,2.6,8,401,21.1%,58.5%,488.5,22.6%,0.28,2,0
Abagnale,4315,153,5W - 5L,50%,3.1,1.1,261,14%,85.2%,154,7.4%,0.43,-,0
Abagnale,4315,62,11W - 16L,40.7%,1.9,1.2,232,13%,73.8%,151.8,7%,0.3,-,0
Abagnale,4315,60,2W - 5L,28.6%,2.9,0.7,232,13.2%,77.8%,197.1,9.1%,0.37,-,0
Abagnale,4315,4,0W - 2L,0%,0.8,1.1,216,13.1%,54.2%,143,6.5%,0.18,-,0
Abagnale,4315,136,10W - 7L,58.8%,4.0,1.3,252,13.6%,70.7%,164.7,7.4%,0.39,1,0
Able,1266,147,35W - 42L,45.5%,2.6,9.5,437,24.8%,65.8%,548.4,27%,0.24,-,0
Able,1266,93,19W - 14L,57.6%,3.3,9.9,460,25%,64.2%,534.3,26.6%,0.26,-,0
Able,1266,21,19W - 19L,50%,4.1,9.3,434,23.9%,59.4%,673.5,32.5%,0.27,-,0
Able,1266,146,3W - 3L,50%,5.3,2.1,319,17.4%,84.6%,682.9,29.5%,0.34,-,0
Able,1266,140,22W - 12L,64.7%,4.6,9.8,471,25%,69.3%,598.2,26.6%,0.36,-,0
Able,1266,151,13W - 10L,56.5%,3.3,9,435,23.8%,72.1%,471.6,24.8%,0.3,-,0
Able,1266,167,2W - 0L,100%,10.7,9.7,476,23.8%,72.1%,881.7,31.1%,0.47,-,-
Able,1266,135,10W - 9L,52.6%,3.8,9.4,431,23.3%,63.5%,558.9,25.8%,0.27,-,0
Able,1266,97,2W - 0L,100%,4.8,8.4,461,21.6%,68.6%,1018.6,33.4%,0.63,-,-
Able,1266,158,12W - 10L,54.5%,4.3,10.1,463,25.9%,71.7%,674.5,31.9%,0.28,-,-
Able,1266,37,11W - 13L,45.8%,3.3,9.4,434,24.3%,57%,435.2,23.3%,0.26,-,-
Abner,4821,50,2W - 5L,28.6%,2.5,8,384,22.7%,62.7%,656.7,25.4%,0.24,-,0
Abner,4821,167,0W - 3L,0%,1.4,8.8,381,24%,61.9%,705.6,33.7%,0.13,1,0
Abner,4821,158,6W - 3L,66.7%,6.5,9.3,436,24%,65.9%,597.3,26%,0.31,-,0
Abner,4821,146,0W - 2L,0%,1.7,7.3,373,23.8%,90.9%,715,29.2%,0.25,1,0
Abner,4821,111,0W - 1L,0%,2.5,8.1,409,23.5%,76.9%,419.3,24.2%,0.27,-,0
Abner,4821,8,3W - 2L,60%,5.8,7.8,418,22.5%,78.3%,812.3,28%,0.52,-,0
Abner,4821,96,0W - 1L,0%,2.0,8,350,22.9%,100%,215.4,14.7%,0.07,-,0
Acce,1031,162,6W - 9L,40%,2.2,7.8,357,20.5%,38.6%,302.8,16.1%,0.13,1,0
Acce,1031,1,24W - 19L,55.8%,3.2,8.2,384,21.5%,54%,386.1,21.3%,0.19,20,0
Acce,1031,106,3W - 2L,60%,3.5,7.4,361,19.8%,50.8%,341,14.2%,0.24,-,0
Acce,1031,75,4W - 10L,28.6%,2.2,7.8,360,21%,50.9%,527.1,25%,0.18,3,0
Acce,1031,119,14W - 12L,53.8%,3.4,8.5,402,22.1%,48.3%,430.2,22.8%,0.21,11,0
Acce,1031,35,1W - 4L,20%,1.4,8.1,369,22.3%,56.6%,371.5,19.6%,0.16,1,0
Acce,1031,138,31W - 16L,66%,4.4,7.1,346,19.2%,59.4%,363.8,18.1%,0.27,5,0
Acce,1031,77,6W - 4L,60%,3.8,7.1,364,19.5%,49%,399.4,16.5%,0.31,4,0
Acce,1031,72,11W - 10L,52.4%,2.3,7.9,369,20.6%,43.8%,306,15.4%,0.17,1,0
Acce,1031,28,2W - 4L,33.3%,2.1,7,332,19.3%,46%,447.9,20.2%,0.21,1,0
Ace0,4118,146,2W - 1L,66.7%,5.9,6.2,391,21.4%,86.5%,748.6,24.2%,0.35,-,0
Ace0,4118,100,1W - 1L,50%,2.9,8.1,401,22%,73.2%,488.1,20.9%,0.27,-,0
Ace0,4118,11,2W - 0L,100%,12.0,9,440,23.4%,64.1%,527.7,22.3%,0.37,-,0
Ace0,4118,21,1W - 1L,50%,1.9,8.4,403,22.8%,56.8%,717.6,24.7%,0.19,-,0
Ace0,4118,50,0W - 2L,0%,0.6,8.4,363,22.5%,66.7%,480.4,24%,0.12,-,0
Ace0,4118,135,0W - 1L,0%,2.5,9.2,395,25.6%,83.3%,250.1,17.9%,0.17,-,0
Ace0,4118,121,1W - 0L,100%,5.0,9.5,435,22.2%,55.6%,352.1,16.5%,0.32,1,0
Ace0,4118,158,1W - 0L,100%,2.7,10.2,493,27.4%,72.7%,835.2,25.2%,0.32,-,0
Ace0,4118,126,1W - 0L,100%,3.0,5,296,15%,66.7%,139.6,7.5%,0.34,-,0
Ace0,4118,138,0W - 1L,0%,1.6,5.9,283,17%,57.1%,314.5,12.5%,0.26,-,0
Ace0,4118,37,1W - 0L,100%,12.0,10.2,477,23.4%,66.7%,630.5,25.4%,0.51,1,0
Ace0,4118,167,0W - 1L,0%,1.3,9.8,367,22%,83.3%,647,28.3%,0.16,-,0
Ace0,4118,8,1W - 0L,100%,14.0,8.8,427,21.7%,87.5%,547,24.9%,0.48,-,0
Ace0,4118,140,0W - 1L,0%,1.0,8.5,378,25%,66.7%,258.5,17.3%,0.07,-,0
Acee,397,67,8W - 8L,50%,4.0,7.9,367,21.4%,75.6%,543.9,26.2%,0.3,-,0
Acee,397,150,1W - 4L,20%,2.1,8.7,375,21.3%,45.3%,473.5,23.1%,0.18,1,0
Acee,397,93,3W - 6L,33.3%,3.8,9.1,443,25.5%,68.4%,655.1,27.3%,0.28,3,0
Acee,397,166,2W - 2L,50%,4.5,8,406,22.6%,80.7%,853.6,30.9%,0.35,1,0
Acee,397,120,0W - 8L,0%,0.7,8.4,345,22.4%,72.7%,462.6,29.7%,0.08,-,0
Acee,397,96,4W - 3L,57.1%,4.8,8.3,404,22.2%,68.7%,348.8,19%,0.28,2,0
Acee,397,142,1W - 3L,25%,3.1,8.3,368,21.1%,60.7%,501.9,23.5%,0.25,-,0
Acee,397,38,4W - 2L,66.7%,6.6,6.9,338,19%,72.5%,407.7,19.6%,0.28,-,0
Acee,397,131,3W - 1L,75%,7.0,7.9,387,20.9%,48.2%,591.7,25.1%,0.38,1,0
Acee,397,46,10W - 16L,38.5%,3.7,7.2,345,20.8%,68.1%,451.2,24.1%,0.22,4,0
Acee,397,3,4W - 8L,33.3%,3.3,7.6,357,21.3%,77.4%,401.4,22%,0.23,6,0
Acee,397,36,9W - 9L,50%,4.7,8.1,367,21.6%,65.5%,522.5,28.6%,0.23,-,0
Achille,5555,1,2W - 2L,50%,2.9,7,381,21.6%,53.4%,618.9,29.1%,0.32,2,0
Achille,5555,35,0W - 2L,0%,0.6,5.9,308,18.2%,16.3%,312.7,14.7%,0.09,-,0
Achille,5555,162,0W - 2L,0%,0.5,6.5,301,18.9%,33.3%,237.4,15.5%,0.06,-,0
Achille,5555,66,0W - 2L,0%,1.6,6.9,370,23.1%,58.9%,495.7,24.1%,0.19,-,0
Achille,5555,113,1W - 1L,50%,2.8,6.3,332,18.6%,60.8%,519.7,23.5%,0.22,-,0
Achille,5555,15,0W - 1L,0%,5.0,7.6,374,21.3%,55.6%,317.4,17.7%,0.28,2,0
Achille,5555,106,0W - 1L,0%,1.3,5.4,343,18.4%,64.3%,556.3,24.1%,0.26,-,0
Ackerman,3640,62,20W - 15L,57.1%,4.3,1.5,244,13.4%,69.7%,171.6,8.7%,0.32,-,0
Ackerman,3640,153,16W - 6L,72.7%,6.3,1.4,255,13.4%,72.1%,169.7,7.8%,0.43,-,0
Ackerman,3640,146,6W - 0L,100%,18.4,1.7,339,17.5%,92%,606.9,23.1%,0.46,-,0
Ackerman,3640,159,8W - 4L,66.7%,7.7,0.9,267,14.1%,85.5%,213,8.9%,0.47,-,0
Ackerman,3640,60,10W - 3L,76.9%,7.3,0.6,256,13.8%,84.9%,214.9,9.5%,0.37,-,0
Ackerman,3640,8,2W - 1L,66.7%,7.0,1.6,329,15.9%,76%,543.7,18.7%,0.59,-,0
Ackerman,3640,55,2W - 0L,100%,36.0,1,296,14.1%,86%,406.1,14.8%,0.71,-,0
Ackerman,3640,136,12W - 7L,63.2%,7.5,1.4,256,13.9%,84.3%,177.3,8.2%,0.41,-,0
Ackerman,3640,51,1W - 1L,50%,8.3,0.7,219,13.1%,100%,154.1,6.7%,0.29,-,0
Ackerman,3640,163,1W - 0L,100%,8.0,1.5,271,13.5%,88.9%,90.1,3.6%,0.54,-,0
Ackerman,3640,100,0W - 1L,0%,-,1.4,233,15.2%,100%,484.8,22.2%,0.13,-,0
Ackerman,3640,141,3W - 2L,60%,4.0,1.7,298,15.3%,68%,249.6,11%,0.35,-,0
Ackerman,3640,4,5W - 6L,45.5%,4.6,1.2,239,13.6%,79.1%,155.9,8.5%,0.31,-,0
Ackerman,3640,126,3W - 11L,21.4%,2.5,3.3,253,15.3%,62.2%,184.4,10%,0.16,-,0
Ackerman,3640,142,0W - 1L,0%,2.5,1.4,242,16%,83.3%,467.1,25.1%,0.15,-,-
Acorderr,4933,153,2W - 1L,66.7%,3.9,1.1,255,14.1%,84.1%,185.3,6.5%,0.33,-,0
Acorderr,4933,62,1W - 2L,33.3%,1.6,1.2,238,13.5%,54.9%,105.8,5.6%,0.24,1,0
Acorderr,4933,118,2W - 0L,100%,10.3,1,259,13.4%,74.5%,98.3,4%,0.41,-,0
